City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Petropavlovsk-Kamchatskiy,RU,2022-06-02 17:36:54,53.0452,158.6483,36.19,100,75,4.47
67,Natal,BR,2022-06-02 17:42:03,-5.795,-35.2094,86.22,74,75,5.75
68,Pochutla,MX,2022-06-02 17:45:37,15.7432,-96.4661,84.81,61,76,5.84
69,Provideniya,RU,2022-06-02 17:45:38,64.3833,-173.3,44.01,76,25,4.03
70,Atuona,PF,2022-06-02 17:45:38,-9.8,-139.0333,78.51,74,33,20.29
71,Egvekinot,RU,2022-06-02 17:45:39,66.3167,-179.1667,35.89,82,53,6.96
72,Jumla,NP,2022-06-02 17:45:40,29.2747,82.1838,56.44,59,61,4.85
73,Kumluca,TR,2022-06-02 17:45:40,36.3703,30.2869,76.15,63,49,2.73
74,Bambous Virieux,MU,2022-06-02 17:45:41,-20.3428,57.7575,73.65,83,40,8.05
75,Puerto Ayora,EC,2022-06-02 17:45:41,-0.7393,-90.3518,76.96,90,95,5.99
76,Port Alfred,ZA,2022-06-02 17:45:42,-33.5906,26.891,56.64,83,55,1.45
77,Alto Araguaia,BR,2022-06-02 17:45:42,-17.3147,-53.2153,88.34,27,12,6.67
78,Sao Filipe,CV,2022-06-02 17:45:43,14.8961,-24.4956,77.4,70,37,10.69
79,Cabo San Lucas,MX,2022-06-02 17:38:09,22.8909,-109.9124,87.1,53,0,3.44
80,Luoyang,CN,2022-06-02 17:45:44,34.6836,112.4536,80.29,48,33,1.59
81,Cape Town,ZA,2022-06-02 17:45:44,-33.9258,18.4232,59.92,73,0,5.75
82,Kodiak,US,2022-06-02 17:45:45,57.79,-152.4072,62.11,36,40,10.36
83,Port Lincoln,AU,2022-06-02 17:42:27,-34.7333,135.8667,52.66,71,100,15.61
84,Longyearbyen,SJ,2022-06-02 17:45:45,78.2186,15.6401,48.04,66,0,12.66
85,The Valley,AI,2022-06-02 17:42:22,18.217,-63.0578,87.66,73,63,13.13
86,Albany,US,2022-06-02 17:42:05,42.6001,-73.9662,76.59,72,100,6.67
87,Nola,IT,2022-06-02 17:45:46,40.922,14.5329,85.64,53,0,5.99
88,Aklavik,CA,2022-06-02 17:45:47,68.2191,-135.0107,46.4,71,75,3.44
89,Shimoda,JP,2022-06-02 17:45:47,34.6667,138.95,67.1,90,20,9.8
90,Panaba,MX,2022-06-02 17:46:48,21.2833,-88.2667,85.19,67,100,17.11
91,Saint Anthony,US,2022-06-02 17:46:48,45.0205,-93.218,76.66,31,0,18.41
92,Nanortalik,GL,2022-06-02 17:46:49,60.1432,-45.2371,40.91,84,86,3.06
93,Lebu,CL,2022-06-02 17:46:49,-37.6167,-73.65,53.87,64,75,16.08
94,Dois Vizinhos,BR,2022-06-02 17:46:50,-25.7336,-53.0572,55.56,98,100,2.06
95,Kavaratti,IN,2022-06-02 17:46:50,10.5669,72.642,83.44,76,84,15.3
96,Hasaki,JP,2022-06-02 17:46:51,35.7333,140.8333,63.28,86,4,13.51
97,Emba,KZ,2022-06-02 17:46:51,48.8264,58.1442,65.75,40,0,6.51
98,Richards Bay,ZA,2022-06-02 17:43:44,-28.783,32.0377,61.47,71,0,4.09
99,Zykovo,RU,2022-06-02 17:46:52,55.9519,93.1461,43.54,86,86,7.81
100,Thompson,CA,2022-06-02 17:42:24,55.7435,-97.8558,39.36,93,100,11.5
101,Tasiilaq,GL,2022-06-02 17:42:19,65.6145,-37.6368,33.96,91,80,2.06
102,Carnarvon,AU,2022-06-02 17:46:53,-24.8667,113.6333,63.97,45,0,14.97
103,Batamshinskiy,KZ,2022-06-02 17:46:54,50.5594,58.2747,60.93,68,0,9.93
104,Imbituva,BR,2022-06-02 17:46:54,-25.23,-50.6044,57.38,99,100,1.97
105,Chicama,PE,2022-06-02 17:46:55,-7.8447,-79.1469,63.14,57,68,9.93
106,Clyde River,CA,2022-06-02 17:38:10,70.4692,-68.5914,44.83,61,100,5.75
107,Mahuva,IN,2022-06-02 17:46:56,21.0914,71.7622,85.14,65,52,13.29
108,Port Macquarie,AU,2022-06-02 17:45:15,-31.4333,152.9167,42.89,82,11,4.63
109,Dikson,RU,2022-06-02 17:46:56,73.5069,80.5464,30.04,90,100,31.09
110,Mattru,SL,2022-06-02 17:46:57,7.6244,-11.8332,80.15,87,89,5.79
111,Mount Gambier,AU,2022-06-02 17:46:57,-37.8333,140.7667,46.85,69,100,9.6
112,Adrar,MR,2022-06-02 17:44:40,20.5022,-10.0711,100.15,15,91,18.86
113,Yulara,AU,2022-06-02 17:46:58,-25.2406,130.9889,53.6,76,33,13.82
114,Pisco,PE,2022-06-02 17:43:43,-13.7,-76.2167,66.02,82,70,11.5
115,Severo-Kurilsk,RU,2022-06-02 17:39:37,50.6789,156.125,42.75,83,100,5.73
116,Rawson,AR,2022-06-02 17:46:59,-43.3002,-65.1023,52.05,32,37,21.03
117,Bengkulu,ID,2022-06-02 17:47:00,-3.8004,102.2655,75.47,88,100,4.34
118,Whitianga,NZ,2022-06-02 17:47:00,-36.8333,175.7,57.92,84,73,14.81
119,Volchikha,RU,2022-06-02 17:47:00,52.0333,80.3833,49.51,57,8,3.22
120,Namatanai,PG,2022-06-02 17:47:01,-3.6667,152.4333,78.42,79,77,3.83
121,Nortelandia,BR,2022-06-02 17:47:02,-14.4547,-56.8028,93.24,34,7,3.98
122,North Platte,US,2022-06-02 17:44:30,41.1239,-100.7654,74.07,40,20,7.0
123,Pelotas,BR,2022-06-02 17:46:47,-31.7719,-52.3425,59.02,64,40,16.11
124,Vaini,TO,2022-06-02 17:47:03,-21.2,-175.2,75.36,94,20,3.44
125,Mersing,MY,2022-06-02 17:47:04,2.4312,103.8405,76.91,94,20,3.44
126,Tahta,EG,2022-06-02 17:47:04,26.7693,31.5021,86.95,22,0,8.05
127,Makakilo City,US,2022-06-02 17:47:05,21.3469,-158.0858,73.72,73,0,5.75
128,Buchanan,LR,2022-06-02 17:47:05,5.8808,-10.0467,80.47,83,90,7.09
129,Beyneu,KZ,2022-06-02 17:47:06,45.3167,55.2,77.11,22,2,12.48
130,Tuatapere,NZ,2022-06-02 17:47:06,-46.1333,167.6833,45.27,82,99,11.1
131,Khatanga,RU,2022-06-02 17:47:07,71.9667,102.5,49.06,69,96,8.79
132,Fort-Shevchenko,KZ,2022-06-02 17:47:07,44.5086,50.263,73.4,62,56,12.84
133,Souillac,MU,2022-06-02 17:42:08,-20.5167,57.5167,73.78,83,40,8.05
134,Saint George,US,2022-06-02 17:42:32,37.1041,-113.5841,87.8,14,0,1.99
135,Geraldton,AU,2022-06-02 17:47:09,-28.7667,114.6,52.21,87,10,8.05
136,Peterhead,GB,2022-06-02 17:47:09,57.5058,-1.7981,56.44,76,57,2.95
137,Senno,RU,2022-06-02 17:47:10,59.5336,33.9167,59.97,66,95,0.63
138,Kapaa,US,2022-06-02 17:43:01,22.0752,-159.319,74.48,95,20,5.75
139,Hilo,US,2022-06-02 17:48:10,19.7297,-155.09,86.29,69,75,6.91
