City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Clyde River,CA,70.4692,-68.5914,32.68,82,79,21.27,broken clouds
80,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,80,3,7.9,clear sky
81,High Level,CA,58.5169,-117.136,57.76,75,89,7.56,light rain
82,Sirjan,IR,29.452,55.6814,92.3,9,0,17.94,clear sky
83,Samagaltay,RU,50.6022,95.0047,52.81,92,57,4.83,light rain
84,Moerai,PF,-22.4333,-151.3333,74.03,71,9,12.19,clear sky
85,Atbasar,KZ,51.8,68.3333,71.58,54,74,5.28,broken clouds
86,New Norfolk,AU,-42.7826,147.0587,48.92,90,94,1.14,overcast clouds
87,Muros,ES,42.7762,-9.0603,75.16,66,100,4.83,overcast clouds
88,Hilo,US,19.7297,-155.09,72.63,85,51,3.0,broken clouds
89,Hirado,JP,33.3597,129.5531,73.38,94,100,8.14,overcast clouds
90,Pangnirtung,CA,66.1451,-65.7125,33.57,84,79,3.27,broken clouds
91,Georgetown,MY,5.4112,100.3354,80.53,96,40,7.0,scattered clouds
92,Coquimbo,CL,-29.9533,-71.3436,58.08,62,4,3.83,clear sky
93,Dikson,RU,73.5069,80.5464,31.6,94,39,12.64,scattered clouds
94,Narsaq,GL,60.9167,-46.05,52.02,60,100,1.32,overcast clouds
95,Mahebourg,MU,-20.4081,57.7,71.89,83,40,3.44,scattered clouds
96,Cidreira,BR,-30.1811,-50.2056,62.87,97,100,7.43,overcast clouds
97,Tuktoyaktuk,CA,69.4541,-133.0374,49.37,60,69,5.82,broken clouds
98,Sola,VU,-13.8833,167.55,81.23,79,100,17.25,overcast clouds
99,Bethel,US,41.3712,-73.414,82.87,81,75,9.22,broken clouds
100,Lagoa,PT,39.05,-27.9833,67.17,89,0,4.88,clear sky
101,Ambilobe,MG,-13.2,49.05,73.29,78,16,2.95,few clouds
102,Dicabisagan,PH,17.0818,122.4157,81.27,83,97,4.03,overcast clouds
103,Namatanai,PG,-3.6667,152.4333,79.23,82,76,7.31,light rain
104,Santa Rosa,PH,14.3122,121.1114,87.12,74,23,5.99,few clouds
105,Urumqi,CN,43.801,87.6005,76.15,31,0,6.71,clear sky
106,Miri,MY,4.4148,114.0089,77.95,86,85,1.68,moderate rain
107,Tuatapere,NZ,-46.1333,167.6833,37.96,92,9,3.31,clear sky
108,Hermanus,ZA,-34.4187,19.2345,63.1,54,0,9.91,clear sky
109,Busayra,JO,30.7376,35.6078,84.7,27,0,11.83,clear sky
110,Nikolskoye,RU,59.7035,30.7861,56.88,75,100,8.48,overcast clouds
